Latitude (decimal degrees):	48.642
Longitude (decimal degrees):	9.958
Elevation (m):	673
Radiation database:	PVGIS-CMSAF


Slope: 38 deg. 
Azimuth: -90 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20070101:0055,0.0,0.0,0.0,8.51,7.71,0.0
20070101:0155,0.0,0.0,0.0,8.63,7.71,0.0
20070101:0255,0.0,0.0,0.0,8.74,7.71,0.0
20070101:0355,0.0,0.0,0.0,8.86,7.71,0.0
20070101:0455,0.0,0.0,0.0,8.79,8.0,0.0
20070101:0555,0.0,0.0,0.0,8.73,8.28,0.0
20070101:0655,0.0,0.0,0.0,8.66,8.57,0.0
20070101:0755,6.55,17.91,4.68,8.49,8.18,0.0
20070101:0855,26.47,45.19,11.11,8.31,7.8,0.0
20070101:0955,11.45,25.2,15.71,8.14,7.42,0.0
20070101:1055,36.42,57.44,18.08,7.73,8.03,0.0
20070101:1155,90.46,122.6,17.99,7.31,8.64,0.0
20070101:1255,8.94,21.45,15.44,6.9,9.26,0.0
20070101:1355,0.0,4.27,10.69,6.07,9.79,0.0
20070101:1455,4.06,13.72,4.14,5.23,10.33,0.0
20070101:1555,0.0,0.0,0.0,4.4,10.87,0.0
20070101:1655,0.0,0.0,0.0,3.88,9.81,0.0
20070101:1755,0.0,0.0,0.0,3.35,8.74,0.0
20070101:1855,0.0,0.0,0.0,2.83,7.68,0.0
20070101:1955,0.0,0.0,0.0,2.43,6.66,0.0
20070101:2055,0.0,0.0,0.0,2.04,5.63,0.0
20070101:2155,0.0,0.0,0.0,1.64,4.61,0.0
20070101:2255,0.0,0.0,0.0,1.13,3.85,0.0
20070101:2355,0.0,0.0,0.0,0.62,3.09,0.0
20070102:0055,0.0,0.0,0.0,0.11,2.33,0.0
20070102:0155,0.0,0.0,0.0,0.56,2.54,0.0
20070102:0255,0.0,0.0,0.0,1.0,2.75,0.0
20070102:0355,0.0,0.0,0.0,1.45,2.97,0.0
20070102:0455,0.0,0.0,0.0,1.51,3.93,0.0
20070102:0555,0.0,0.0,0.0,1.58,4.89,0.0
20070102:0655,0.0,0.0,0.0,1.64,5.85,0.0
20070102:0755,19.42,35.12,4.7,1.46,7.13,0.0
20070102:0855,224.96,265.43,11.15,1.29,8.41,0.0
20070102:0955,87.75,114.62,15.77,1.11,9.7,0.0
20070102:1055,11.46,24.56,18.16,0.83,9.33,0.0
20070102:1155,38.38,58.17,18.08,0.56,8.97,0.0
20070102:1255,33.58,52.43,15.55,0.28,8.61,0.0
20070102:1355,13.94,27.86,10.81,-0.04,7.71,0.0
20070102:1455,6.4,17.18,4.26,-0.36,6.81,0.0
20070102:1555,0.0,0.0,0.0,-0.68,5.92,0.0
20070102:1655,0.0,0.0,0.0,-0.65,5.66,0.0
20070102:1755,0.0,0.0,0.0,-0.63,5.4,0.0
20070102:1855,0.0,0.0,0.0,-0.6,5.14,0.0
20070102:1955,0.0,0.0,0.0,-0.52,5.11,0.0
20070102:2055,0.0,0.0,0.0,-0.44,5.07,0.0
20070102:2155,0.0,0.0,0.0,-0.36,5.03,0.0
